problem_id,function_name,summary_ja,haiku-4-5_en_python,gpt-5.4_en_python,haiku-4-5_pyguide_ja_yui
63,fibfib,FibFib数列はフィボナッチ数列に似た数列で、以下のように定義される： fibfib(0) == 0 fibfib(1) == 0 fibfib(2) == 1 fibfib(n) == fibfib(n-1) + fibfib(n-2) + fibfib(n-3). fibfib数列のn番目の要素を効率よく計算する関数を書いてください。,pass,pass,pass
64,vowels_count,Add more test cases.,fail,fail,fail
65,circular_shift,整数 x の桁を循環シフトする。shift 分だけ桁を右にシフトし、結果を文字列として返す。 もし、shift > 桁数なら、桁を反転して返す。,pass,pass,pass
66,digitSum,"タスク 文字列を引数にとり、英大文字のみのASCIIコードの和を返す関数を書く。 Examples: digitSum("""") => 0 digitSum(""abAB"") => 131 digitSum(""abcCd"") => 67 digitSum(""helloE"") => 69 digitSum(""woArBld"") => 131 digitSum(""aAaaaXa"") => 153",pass,pass,pass
67,fruit_distribution,"この課題では、果物の入ったカゴに配られたリンゴとオレンジの数を表す文字列が 与えられ、このカゴにはリンゴ、オレンジ、マンゴーの果実が入っている。オレンジ とリンゴの総数を表す文字列と、かごの中の果物の総数を表す整数が与えられたら、 かごの中のマンゴーの果物の数を返しなさい。 たとえば: fruit_distribution(""5 apples and 6 oranges"", 19) ->19 - 5 - 6 = 8 fruit_distribution(""0 apples and 1 oranges"",3) -> 3 - 0 - 1 = 2 fruit_distribution(""2 apples and 3 oranges"", 100) -> 100 - 2 - 3 = 95 fruit_distribution(""100 apples and 1 oranges"",120) -> 120 - 100 - 1 = 19",pass,pass,fail
68,pluck,非負整数のノードを持つ木の枝を表す配列が与えられたとする。あなたの仕事は、 ノードの1つを抜き取り、それを返すことである。 摘出されるノードは、最小偶数値を持つノードでなければならない。 同じ最小偶数値を持つノードが複数見つかった場合は、最小のインデックスを持つ ノードを返す。,pass,pass,fail
69,search,"正の整数の空でないリストが与えられる。0より大きく、その整数自身の値以上の頻度を 持つ最大の整数を返せ。整数の頻度とは、それがリストに現れる回数である。 そのような値が存在しない場合は -1 を返す。 例: search([4, 1, 2, 2, 3, 1]) == 2 search([1, 2, 2, 3, 3, 3, 4, 4, 4]) == 3 search([5, 5, 4, 4, 4]) == -1",pass,pass,pass
70,strange_sort_list,整数のリストが与えられたとき、リストを奇妙な順序で返す。 奇妙なソートとは、最小値から始まり、残りの整数の最大値、最小値の順で ソートすることである。,pass,pass,fail
71,triangle_area,"三角形の3辺の長さが与えられた。3辺が有効な三角形を形成していれば、 三角形の面積を小数点以下2桁で四捨五入して返す。そうでない場合は-1を 返す。 任意の2辺の和が3辺より大きいとき、3辺は有効な三角形となる。 例: triangle_area(3, 4, 5) == 6.00 triangle_area(1, 2, 10) == -1",pass,pass,fail
72,will_it_fly,物体qが飛べばTrueを、そうでなければFalseを返す関数を書け。 物体qはバランスが取れていて（つまり、リストが回文であって）、その要素の和が 最大荷重w以下であれば飛ぶ。,pass,pass,fail
73,smallest_change,"整数の配列arrが与えられたとき、その配列を回文配列にするために 必要な要素の最小数を求めよ。回文配列とは、前からも後からも同じ ようになる配列のことである。1回の変更で、1つの要素を他の任意の 要素に変更できる。 例えば: smallest_change([1,2,3,5,4,7,9,6]) == 4 smallest_change([1, 2, 3, 4, 3, 2, 2]) == 1 smallest_change([1, 2, 3, 2, 1]) == 0",pass,pass,pass
74,total_match,２つの文字列リストを受け取り、リストの全文字数の合計がもう一方 のリストより少ないリストを返す関数を書きなさい。,pass,pass,fail
75,is_multiply_prime,与えられた数が3つの素数の掛け算であればTrueを、そうでなければFalseを返す 関数を書きなさい。 引数 aは100以下を既知としていよい。 例: is_multiply_prime(30) == True 30 = 2 * 3 * 5,pass,pass,fail
76,is_simple_power,"あなたのタスクは、ある数xがnの単純なべき乗である場合にtrueを、 それ以外の場合にfalseを返す関数を書くことである。 xは、n**int=xのとき、nの単純なべき乗である。 例えば: is_simple_power(1, 4) => true is_simple_power(2, 2) => true is_simple_power(8, 2) => true is_simple_power(3, 2) => false is_simple_power(3, 1) => false is_simple_power(5, 3) => false",pass,pass,fail
77,iscube,整数aを受け取り、この整数がある整数の3乗である場合にTrue を返す関数を書きなさい。 注意：入力は常に処理可能であると仮定してよい。 例: iscube(1) ==> True iscube(2) ==> False iscube(-1) ==> True iscube(64) ==> True iscube(0) ==> True iscube(180) ==> False,fail,pass,fail
78,hex_key,"16進数の数字を文字列として受け取り、その中に含まれる素数である16進数の桁数を カウントする関数を作成するタスクが与えられました。素数とは、1より大きく、 2つのより小さい自然数の積でない自然数です。 16進数の桁には0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, Fがあります。 素数としては2, 3, 5, 7, 11, 13, 17,...があります。 したがって、次の数字のいずれかがいくつあるかを判定する必要があります： 2, 3, 5, 7, B（=10進数で11）, D（=10進数で13） 注意：入力は常に正確、または空の文字列であり、記号A, B, C, D, E, Fは常に 大文字であると仮定してよいです。 例： num = ""AB"" の場合、出力は 1 です。 num = ""1077E"" の場合、出力は 2 です。 num = ""ABED1A33"" の場合、出力は 4 です。 num = ""123456789ABCDEF0"" の場合、出力は 6 です。 num = ""2020"" の場合、出力は 2 です。be 2.",pass,pass,fail
79,decimal_to_binary,10進数形式の数値が与えられ、あなたのタスクはそれを2進数形式に変換することである。 この関数は、文字列を返し、その各文字は2進数を表す。文字列の各文字は'0'か'1'である。,pass,pass,fail
80,is_happy,あなたは文字列sが与えられる。 あなたのタスクは、その文字列が幸せかどうかをチェックすることである。 文字列は幸せとは、文字列の長さが少なくとも3以上で、連続する3文字がすべて異なる場合である。 例えば: is_happy(a) => False is_happy(aa) => False is_happy(abcd) => True is_happy(aabb) => False is_happy(adb) => True is_happy(xyy) => False,pass,pass,fail
81,numerical_letter_grade,学期最終週、教師は生徒に成績をつけなければならない。教師は独自のアルゴリズムで採点している。 問題は、彼女が成績評価に使ったコードを紛失してしまったことです。 彼女は何人かの生徒のGPAのリストをあなたに渡したので、あなたは次の表を使って評点のリストを 出力できる関数を書くことになりました。,pass,pass,pass
82,prime_length,文字列を受け取り、文字列の長さが素数であればTrueを、そうでなければFalseを返す関数を書く。 例 prime_length('Hello') == True prime_length('abcdcba') == True prime_length('kittens') == True prime_length('orange') == False,pass,pass,fail
83,starts_one_ends,正の整数 n が与えられたとき、n 桁の正の整数で 1 で始まるか もしくは終わる数のカウントを返す,pass,pass,fail
84,solve,"正の整数 N が与えられた時、その桁の総和を2進数で返す。 例 N = 1000のとき, 各桁の総和は1、だから返り値は ""1"". N = 150のとき,各桁の総和は6、 だから返り値は ""110"". N = 147のとき,各桁の総和は12、 だから返り値は ""1100"".",pass,pass,fail
85,add,空でない整数のリストlstが与えられたとき、奇数のインデックスにある偶数の要素を加える。,pass,pass,pass
86,anti_shuffle,文字列を引数として受け取り、その「順序付けられたバージョン」を返す関数を作成してください。 順序付けられたバージョンとは、各単語（空白で区切られた）の文字がASCII値に基づいて昇順に 並べ替えられた新しい単語に置き換えられた文字列です。 注意：文章内の単語と空白の順序はそのまま保ってください。,pass,pass,fail
87,get_row,"2次元のデータがネストされたリストとして与えられる。これは行列に似ているが、 行列とは異なり、各行は異なる数の列を含むことができる。 lstと整数xが与えられたとき、リスト内の整数xを見つけ、各タプルが0から始まる 座標（行、列）であるようなタプルのリスト[(x1, y1), (x2, y2) ...]を返す。 座標を最初は行の昇順でソートする。 また、行の座標を列の降順でソートする。",pass,pass,fail
88,sort_array,非負の整数からなる配列が与えられた場合、配列をソートしたコピーを返してください。 配列の最初の要素と最後の要素の和が奇数であれば、配列を昇順（小さい順）にソートします。 その和が偶数であれば、配列を降順（大きい順）にソートします。,pass,pass,fail
89,encrypt,文字列を引数にとり、アルファベットを回転させて暗号化した 文字列を返す関数encryptを作成せよ。 アルファベットは、文字位置を2倍して2つ下にシフトするように 回転する。 例: encrypt('hi') returns 'lm' encrypt('asdfghjkl') returns 'ewhjklnop' encrypt('gf') returns 'kj' encrypt('et') returns 'ix',pass,pass,fail
90,next_smallest,整数のリストが与えられる。 リストの2番目に小さい要素を返す関数 next_smallest() を書きなさい。 そのような要素がない場合は None を返す。,pass,pass,fail
91,is_bored,"単語の文字列が与えられ、あなたのタスクは退屈指数を数える ことである。退屈指数とは、""I ""で始まる文のことである。 文は'.'、’?’、'!'のいずれかで区切られる。",pass,pass,fail
92,any_int,3つの数値を受け取る関数を作る。 1つの数値が他の2つの数値の和と等しく、すべての数値が整数である場合にTrueを返す。 それ以外の場合はFalseを返す。,pass,pass,fail
93,encode,メッセージを受け取り、すべての文字の大文字と小文字を入れ替え、 メッセージ中のすべての母音を英語の母音の2つ前に現れる文字に置 き換えるようにエンコードする関数を書きなさい。  文字だけを想定する。,fail,pass,fail
94,skjkasdkd,"整数のリストが与えらる。 最大の素数を求め、その桁数の和を返す必要がある。 例: lst = [0,3,2,1,3,5,7,4,5,5,5,2,181,32,4,32,3,2,32,324,4,3] のとき、返り値は10 lst = [1,0,1,8,2,4597,2,1,3,40,1,2,1,2,4,2,5,1]のとき、返り値は 25 lst = [1,3,1,32,5107,34,83278,109,163,23,2323,32,30,1,9,3]のとき、返り値は13 lst = [0,724,32,71,99,32,6,0,5,91,83,0,5,6]のとき、返り値は11 lst = [0,81,12,3,1,21]のとき、返り値は3 lst = [0,8,1,2,1,7]のとき、返り値は7",pass,pass,fail
95,check_dict_case,"辞書が与えられたとき、すべてのキーが小文字であればTrueを、 すべてのキーが大文字の文字列であればFalseを返す。 与えられた辞書が空の場合、この関数は False を返す。 例: check_dict_case({""a"":""apple"", ""b"":""banana""}) は、 Trueを返す。 check_dict_case({""a"":""apple"", ""A"":""banana"", ""B"":""banana""}) は、  Falseを返す。 check_dict_case({""a"":""apple"", 8:""banana"", ""a"":""apple""}) は、  Falseを返す。 check_dict_case({""Name"":""John"", ""Age"":""36"", ""City"":""Houston""}) は、  Falseを返す。 check_dict_case({""STATE"":""NC"", ""ZIP"":""12345"" }) は、 Trueを返す。",pass,pass,fail
96,count_up_to,"非負整数を受け取り、素数でnより小さい最初のn個の 整数の配列を返す関数を実装せよ。 例えば: count_up_to(5) => [2,3] count_up_to(11) => [2,3,5,7] count_up_to(0) => [] count_up_to(20) => [2,3,5,7,11,13,17,19] count_up_to(1) => [] count_up_to(18) => [2,3,5,7,11,13,17]",pass,pass,pass
97,multiply,"2つの整数を受け取り、その１の位の数の積を返す関数を完成させよ。 入力は常に有効範囲にあるとする。 例: multiply(148, 412) は16を返す。 multiply(19, 28) は72を返す。 multiply(2020, 1851) は0を返す。 multiply(14,-15) は20を返す。",pass,pass,pass
98,count_upper,文字列 s が与えられたとき、偶数のインデックスに含まれる大文字の母音の数を数える。 例えば: count_upper('aBCdEf') returns 1 count_upper('abcdefg') returns 0 count_upper('dBBE') returns 0,pass,pass,pass
99,closest_integer,数値を表す文字列valueを受け取り、それに最も近い整数を返す関数を作る。 その数値が2つの整数から等距離にある場合は、ゼロから四捨五入する。,pass,pass,fail
100,make_a_pile,正の整数nが与えられたとき、n段の石の山を作らなければならない。 最初の段にはn個の石がある。 次の段の石の数は - nが奇数なら次の奇数。 - nが偶数なら次の偶数。 各段の石の数をリストで返す。インデックス i の要素は、段 (i+1) の石の 数を表すものとする。 例:,pass,pass,pass
101,words_string,カンマまたは空白で区切られた単語の文字列が与えられる。あなたのタスクは、 文字列を単語に分割し、単語の配列を返すことである。,pass,pass,pass
102,choose_num,"この関数は2つの正の数xとyを受け取り、範囲[x, y]（両端を含む）に含まれる 最大の偶数整数を返す。そのような数がない場合、関数は-1を返す。",pass,pass,fail
103,rounded_avg,"2つの正の整数nとmが与えられており、あなたのタスクはnからmまでの 整数（nとmを含む）の平均を計算することである。 答えを最も近い整数に丸め、2進数に変換せよ。 nがmより大きい場合は-1を返す。 例: rounded_avg(1, 5) => ""0b11"" rounded_avg(7, 5) => -1 rounded_avg(10, 20) => ""0b1111"" rounded_avg(20, 33) => ""0b11010""",pass,pass,fail
104,unique_digits,正の整数xのリストが与えられたとき、偶数桁の要素を持たない全ての 要素をソートしたリストを返す。,pass,pass,fail
105,by_length,"整数の配列が与えられたとき、1から9までの整数をソートし、 得られた配列を逆順にし、各桁を以下の数字に相当する名前に置き換える。 ""One""、""Two""、""Three""、""Four""、""Five""、""Six""、""Seven""、""Eight""、""Nine "" 例えば: arr = [2, 1, 1, 4, 5, 8, 2, 3]    -> arrをソート -> [1, 1, 2, 2, 3, 4, 5, 8]  -> arrを逆順 -> [8, 5, 4, 3, 2, 2, 1, 1] [""Eight"", ""Five"", ""Four"", ""Three"", ""Two"", ""Two"", ""One"", ""One""]を返す。",pass,pass,fail
106,f,"iは1から始まる。iの階乗は1からiまでの数の掛け算（1 * 2 * ... * i）である。 Example: f(5) == [1, 2, 6, 24, 15]",pass,pass,fail
107,even_odd_palindrome,与えられた正の整数 nに対して、範囲 1 から n まで（両端を含む）に存在する 偶数の回文数(integer palindrome)と奇数の回文数の個数をタプル形式で返す。,pass,pass,fail
108,count_nums,"count_nums 関数は、整数の配列を引数として受け取り、その配列内の各整数の各桁の合計が  >0 となるような整数の個数を返す。負の数に関しては、最初の桁（符号付き桁）は負となる。 たとえば、−123 の符号付き桁は −1, 2, 3 である。",pass,pass,fail
109,move_one_ball,"N個の整数arr[1], arr[2], ..., arr[N]なる配列 'arr' があります。 この配列の数字はランダムな順番に並んでいます。あなたの課題は、以下の操作を何度でも行うことで、 配列を非減少.の順番にソートできるかどうかを判断することです。 操作として許されているのは「右シフト」です。",pass,pass,fail
110,exchange,"この問題では、2つの数のリストを受け取り、lst1を偶数のみのリストに するために、それらの間で要素の交換を行うことが可能かどうかを判断す る関数を実装する。 lst1とlst2の間で交換される要素の数に制限はない。 lst1とlst2の間で要素の交換を行い、lst1の要素をすべて偶数にすることが 可能であれば、""YES ""を返す。 そうでなければ ""NO ""を返す。 例えば: exchange([1, 2, 3, 4], [1, 2, 3, 4]) => ""YES"" exchange([1, 2, 3, 4], [1, 5, 3, 4]) => ""NO"" 受け取るリストは空でないと前提してよい。",pass,pass,fail
111,histogram,空白で区切られた小文字を表す文字列が与えられる。最も出現回数が多い文字と 対応するカウントの辞書を返す。 複数の文字が同じ出現回数を持つ場合、それらすべてを返す。,pass,pass,fail
112,reverse_delete,"課題 sとcの2つの文字列が与えられる。sに含まれる文字のうち、cに含まれる文字と 等しいものをすべて削除し、その結果の文字列が回文かどうかをチェックする。 文字列は、後ろから読んでも前から読んでも同じであれば回文と呼ばれる。 結果文字列とチェックのためのTrue/Falseを含むタプルを返す必要がある。 例 s = ""abcde"", c = ""ae""のとき、結果は ('bcd',False) s = ""abcdef"", c = ""b""  のとき、結果は ('acdef',False) s = ""abcdedcba"", c = ""ab"", のとき、結果は  ('cdedc',True)",pass,pass,fail
113,odd_count,"数字のみで構成された文字列のリストを引数として受け取り、新しいリストを返します。 出力される新しいリストの各要素は、""the number of odd elements in the string i of the  input.""となりますが、この文字列内のすべての 'i' は、入力リストのi番目の文字列に含ま れる奇数の数に置き換えられます。",pass,pass,fail
114,minSubArraySum,"整数の配列 nums が与えられたとき、nums の空でない部分配列の最小和を求めよ。 例: minSubArraySum([2, 3, 4, 1, 2, 4]) == 1 minSubArraySum([-1, -2, -3]) == -6",pass,pass,fail
115,max_fill,長方形のグリッド状(grid)の井戸が与えられる。各行が1つの井戸を表し、 行の1が1単位の水を表す。 各井戸には，そこから水を汲み上げるのに使える対応するバケツがあり， すべてのバケツ容量(capacity)は同じである． あなたの仕事は，バケツを使って井戸を空にすることである． バケツを降ろす回数を出力せよ．,pass,pass,fail
116,sort_array,"この問題では、非負整数の配列を2進数表現における""1""の個数を昇順でソートする。 ""1""の個数が同じ場合は，10進数に基づいてソートする。",pass,fail,fail
117,select_words,"ある文字列sと自然数nが与えらる。あなたに課せられたタスクは、文字列s の中から、ちょうどn個の子音を含むすべての単語のリストを現れる順に返す 関数を実装することである。 注意：入力文字列には英文字と空白しか含まれないと仮定してもよい。 例: select_words(""Mary had a little lamb"", 4) ==> [""little""] select_words(""Mary had a little lamb"", 3) ==> [""Mary"", ""lamb""] select_words(""simple white space"", 2) ==> [] select_words(""Hello world"", 4) ==> [""world""] select_words(""Uncle sam"", 3) ==> [""Uncle""]",pass,pass,fail
118,get_closest_vowel,単語が与えられる。あなたの仕事は、単語の右側から2つの子音（大文字と 小文字を区別）の間に立っている最も近い母音を見つけることである。,pass,pass,fail
119,match_parens,2つの文字列からなるリストが与えられます。両方の文字列は開き括弧 '(' または 閉じ括弧 ')' のみで構成されています。 あなたの仕事は、2つの文字列を何らかの順序で結合して、「良い」文字列にすることが 可能かどうかを確認することです。,pass,pass,pass
120,maximum,整数の配列 arr と正の整数 k が与えられる。arr に含まれる大きい方から k 個の数を含む 長さ k のソート済みリストを返す。,pass,pass,fail
121,solution,"整数の空でないリストが与えられた時、偶数の位置にある奇数の要素の合計を返す。 例 solution([5, 8, 7, 1]) ==> 12 solution([3, 3, 3, 3, 3]) ==> 9 solution([30, 13, 24, 321]) ==>0",pass,pass,fail
122,add_elements,整数の空でない配列 arr と整数 k が与えられたとき、 arr の最初の k 個の要素から高々 2 桁までの要素の和を返す。,pass,pass,fail
123,get_odd_collatz,正の整数nが与えられたとき、コラッツ数列の奇数を持つソートされたリストを返す。 コラッツ予想とは数学の予想で、次のように定義される数列に関するものである：  任意の正の整数nから始め、各項は前の項から次のように求められる。 前の項が偶数なら、次の項は前の項の2分の1である。前の項が奇数の場合、次の項は前の項の3倍＋1である。 予想では、nがどのような値であっても、数列は必ず1に達する。,pass,pass,fail
124,valid_date,"与えられた日付文字列を検証し、その日付が有効であればTrueを、そうでなければFalseを返す関数を書く必要がある。 日付が有効であるのは、以下のルールがすべて満たされている場合である： 1. 日付文字列が空でない。 2. 日数が、月1,3,5,7,8,10,12の場合、1日以上31日以下である。また、月4,6,9,11については、日数が1以上30日以下である。また、月2については、日数が1以上29以下であること。 3. 月は1未満または12以上であってはならない。 4. 日付はmm-dd-yyyyの形式でなければならない。",pass,pass,fail
125,split_words,"単語の文字列が与えられた場合、空白で分割された単語のリストを返す。 テキスト中に空白が存在しない場合は、カンマ ',' で分割する必要がある。カンマが存在しない場合は、 アルファベットの奇数順の小文字の数を返す必要がある。ord('a') = 0, ord('b') = 1, ... ord('z') = 25 例 split_words(""Hello world!"") ➞ [""Hello"", ""world!""] split_words(""Hello,world!"") ➞ [""Hello"", ""world!""] split_words(""abcdef"") == 3",pass,pass,fail
126,is_sorted,数字のリストが与えられたとき、昇順に整列されているかどうかを返す。 リストに同じ数の重複が1つ以上ある場合は、Falseを返す。 負の数はなく、整数のみであると仮定する。,pass,pass,fail
127,intersection,"2つの区間が与えられます。 それぞれの区間は整数のペアで示されます。例えば、区間 = (start, end ) = (1, 2) です。 与えられた区間は閉区間であり、start と end の両端が含まれます。 各区間について、start は end 以下であると仮定します。",fail,pass,fail
128,prod_signs,整数の配列 arr が与えられます。この配列に含まれる各数値の絶対値の合計と、 各数値の符号（プラスは1、マイナスは-1、ゼロは0）の積を掛け合わせた値を 返してください。 注意：配列`arr`が空の場合は`None`を返してください。,pass,pass,fail
129,minPath,"N行とN列 (N >= 2)) のグリッドと正の整数kが与えられた場合、各セルには値が含まれている。 範囲[1, N * N]（両端を含む）のすべての整数は、グリッドのセルに一度だけ表れる。",pass,fail,fail
